time (hr),demand (kW),solar capacity factor (-),wind capacity factor (-),dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch unmet demand (kW),cutailment solar (kW),cutailment wind (kW),cutailment nuclear (kW),price ($/kWh)
0.0,1.2116575452696388,0.002022982,0.270847194,0.0,0.0,0.004029246691757537,1.207628298577881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8880907532526454,0.0,1.05e-08
1.0,1.2096018486860602,0.0,0.274821448,0.0,0.0,0.0,1.2096018486860602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9168685640930816,0.0,1.05e-08
2.0,1.1913018663909964,0.0,0.276146649,0.0,0.0,0.0,1.1913018663909964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9454224793980801,0.0,1.05e-08
3.0,1.1677984021187497,0.0,0.273340059,0.0,0.0,0.0,1.1677984021187497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9472095505749749,0.0,1.05e-08
4.0,1.1480487254621414,0.0,0.262454067,0.0,0.0,0.0,1.1480487254621414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8827273011202326,0.0,1.05e-08
5.0,1.1281941226257464,0.0,0.252559161,0.0,0.0,0.0,1.1281941226257464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8260186480704608,0.0,1.05e-08
6.0,1.1155580126885627,0.0,0.247681079,0.0,0.0,0.0,1.1155580126885627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8009098981373535,0.0,1.05e-08
7.0,1.1080311653018147,0.0,0.245285879,0.0,0.0,0.0,1.1080311653018147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7899035416211493,0.0,1.05e-08
8.0,1.1010910479816296,0.0,0.242146792,0.0,0.0,0.0,1.1010910479816296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7725545225685442,0.0,1.05e-08
9.0,1.1046799516004602,0.0,0.240808832,0.0,0.0,0.0,1.1046799516004602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7586129613453407,0.0,1.05e-08
10.0,1.1162667997397757,0.0,0.241095621,0.0,0.0,0.0,1.1162667997397757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7492451842707062,0.0,1.05e-08
11.0,1.1340400097852976,0.0,0.239250483,0.0,0.0,0.0,1.1340400097852976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7171949540251654,0.0,1.05e-08
