case name,CO2 price ($/kgCO2),fixed cost natgas ($/kW/h),fixed cost natgas ccs ($/kW/h),fixed cost solar ($/kW/h),fixed cost wind ($/kW/h),fixed cost nuclear ($/kW/h),fixed cost storage (($/h)/kWh),fixed cost pgp storage (($/h)/kWh),var cost natgas ($/kWh),var cost natgas ccs ($/kWh),var cost solar ($/kWh),var cost wind ($/kWh),var cost nuclear ($/kWh),var cost to storage ($/kWh),var cost storage ($/kWh),var cost to pgp storage ($/kWh),var cost pgp storage ($/kWh),var cost unmet demand ($/kWh),storage charging efficiency,storage charging time (h),storage decay rate (1/h),pgp storage charging efficiency,pgp storage decay rate (1/h),mean demand (kW),capacity factor solar series (-),capacity factor wind series (-),capacity natgas (kW),capacity natgas ccs (kW),capacity solar (kW),capacity wind (kW),capacity nuclear (kW),capacity storage (kWh),capacity pgp storage (kWh),capacity to pgp storage (kW),capacity from pgp storage (kW),system cost ($/kW/h),problem status,dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch unmet demand (kW),curtailment solar (kW),curtailment wind (kW),curtailment nuclear (kW)
exp3.00,0.0,0.0118419,-1.0,0.0195287,0.0206486,-1.0,0.00423925,-1.0,0.02259,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,1000.0,0.9,6.0,1.36217e-05,0.3,1.14075e-08,1.0,0.2749382517596233,0.363571204277968,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03443189999999741,optimal,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp2.95,0.0,0.0118419,-1.0,0.0195287,0.0206486,-1.0,0.00423925,-1.0,0.02259,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,891.251,0.9,6.0,1.36217e-05,0.3,1.14075e-08,1.0,0.2749382517596233,0.363571204277968,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03443189999999741,optimal,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp2.90,0.0,0.0118419,-1.0,0.0195287,0.0206486,-1.0,0.00423925,-1.0,0.02259,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,794.328,0.9,6.0,1.36217e-05,0.3,1.14075e-08,1.0,0.2749382517596233,0.363571204277968,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03443189999999741,optimal,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp2.85,0.0,0.0118419,-1.0,0.0195287,0.0206486,-1.0,0.00423925,-1.0,0.02259,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,707.946,0.9,6.0,1.36217e-05,0.3,1.14075e-08,1.0,0.2749382517596233,0.363571204277968,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03443189999999741,optimal,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp2.80,0.0,0.0118419,-1.0,0.0195287,0.0206486,-1.0,0.00423925,-1.0,0.02259,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,630.957,0.9,6.0,1.36217e-05,0.3,1.14075e-08,1.0,0.2749382517596233,0.363571204277968,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03443189999999741,optimal,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp2.75,0.0,0.0118419,-1.0,0.0195287,0.0206486,-1.0,0.00423925,-1.0,0.02259,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,562.341,0.9,6.0,1.36217e-05,0.3,1.14075e-08,1.0,0.2749382517596233,0.363571204277968,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03443189999999741,optimal,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp2.70,0.0,0.0118419,-1.0,0.0195287,0.0206486,-1.0,0.00423925,-1.0,0.02259,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,501.187,0.9,6.0,1.36217e-05,0.3,1.14075e-08,1.0,0.2749382517596233,0.363571204277968,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03443189999999741,optimal,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp2.65,0.0,0.0118419,-1.0,0.0195287,0.0206486,-1.0,0.00423925,-1.0,0.02259,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,446.684,0.9,6.0,1.36217e-05,0.3,1.14075e-08,1.0,0.2749382517596233,0.363571204277968,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03443189999999741,optimal,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp2.60,0.0,0.0118419,-1.0,0.0195287,0.0206486,-1.0,0.00423925,-1.0,0.02259,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,398.107,0.9,6.0,1.36217e-05,0.3,1.14075e-08,1.0,0.2749382517596233,0.363571204277968,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03443189999999741,optimal,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp2.55,0.0,0.0118419,-1.0,0.0195287,0.0206486,-1.0,0.00423925,-1.0,0.02259,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,354.813,0.9,6.0,1.36217e-05,0.3,1.14075e-08,1.0,0.2749382517596233,0.363571204277968,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03443189999999741,optimal,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp2.50,0.0,0.0118419,-1.0,0.0195287,0.0206486,-1.0,0.00423925,-1.0,0.02259,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,316.228,0.9,6.0,1.36217e-05,0.3,1.14075e-08,1.0,0.2749382517596233,0.363571204277968,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03443189999999741,optimal,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp2.45,0.0,0.0118419,-1.0,0.0195287,0.0206486,-1.0,0.00423925,-1.0,0.02259,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,281.838,0.9,6.0,1.36217e-05,0.3,1.14075e-08,1.0,0.2749382517596233,0.363571204277968,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03443189999999741,optimal,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp2.40,0.0,0.0118419,-1.0,0.0195287,0.0206486,-1.0,0.00423925,-1.0,0.02259,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,251.189,0.9,6.0,1.36217e-05,0.3,1.14075e-08,1.0,0.2749382517596233,0.363571204277968,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03443189999999741,optimal,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp2.35,0.0,0.0118419,-1.0,0.0195287,0.0206486,-1.0,0.00423925,-1.0,0.02259,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,223.872,0.9,6.0,1.36217e-05,0.3,1.14075e-08,1.0,0.2749382517596233,0.363571204277968,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03443189999999741,optimal,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp2.30,0.0,0.0118419,-1.0,0.0195287,0.0206486,-1.0,0.00423925,-1.0,0.02259,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,199.526,0.9,6.0,1.36217e-05,0.3,1.14075e-08,1.0,0.2749382517596233,0.363571204277968,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03443189999999741,optimal,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp2.25,0.0,0.0118419,-1.0,0.0195287,0.0206486,-1.0,0.00423925,-1.0,0.02259,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,177.828,0.9,6.0,1.36217e-05,0.3,1.14075e-08,1.0,0.2749382517596233,0.363571204277968,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03443189999999741,optimal,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp2.20,0.0,0.0118419,-1.0,0.0195287,0.0206486,-1.0,0.00423925,-1.0,0.02259,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,158.489,0.9,6.0,1.36217e-05,0.3,1.14075e-08,1.0,0.2749382517596233,0.363571204277968,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03443189999999741,optimal,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp2.15,0.0,0.0118419,-1.0,0.0195287,0.0206486,-1.0,0.00423925,-1.0,0.02259,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,141.254,0.9,6.0,1.36217e-05,0.3,1.14075e-08,1.0,0.2749382517596233,0.363571204277968,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03443189999999741,optimal,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp2.10,0.0,0.0118419,-1.0,0.0195287,0.0206486,-1.0,0.00423925,-1.0,0.02259,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,125.893,0.9,6.0,1.36217e-05,0.3,1.14075e-08,1.0,0.2749382517596233,0.363571204277968,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03443189999999741,optimal,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
